1686622806.249067,0
1686622806.358909,5
1686622806.570574,4
1686622806.676710,8
1686622806.780875,9
1686622806.884955,9
1686622806.989066,9
1686622807.093556,8
1686622807.197734,6
1686622807.301656,7
1686622807.406500,8
1686622807.511859,9
1686622807.616550,10
1686622807.720836,15
1686622807.825611,16
1686622807.930155,17
1686622808.035041,18
1686622808.139665,11
1686622808.244085,9
1686622808.348371,11
1686622808.452788,10
1686622808.557223,11
1686622808.661847,8
1686622808.765914,9
1686622808.870236,8
1686622808.974515,8
1686622809.078607,7
1686622809.182593,6
1686622809.286795,7
1686622809.390975,6
1686622809.495248,6
1686622809.601109,7
1686622809.705176,7
1686622809.810394,2
1686622809.914927,2
1686622810.019281,2
1686622810.123441,4
1686622810.227987,4
1686622810.334193,5
1686622810.438249,4
1686622810.542582,4
1686622810.646919,4
1686622810.750846,5
1686622810.855038,6
1686622810.958939,6
1686622811.062979,4
1686622811.167150,4
1686622811.271660,4
1686622811.376403,4
1686622811.480643,5
1686622811.584745,6
1686622811.689155,4
1686622811.793203,5
1686622811.897127,6
1686622812.001155,7
1686622812.105130,8
1686622812.209404,3
1686622812.313881,4
1686622812.418707,4
1686622812.522795,5
1686622812.626972,5
1686622812.731340,5
1686622812.835406,4
1686622812.939519,4
1686622813.043958,4
1686622813.148201,5
1686622813.252789,5
1686622813.356982,4
1686622813.494430,3
1686622813.599319,6
1686622813.703982,6
1686622813.808539,6
1686622813.912644,5
1686622814.017371,6
1686622814.121649,4
1686622814.225729,5
1686622814.329824,5
1686622814.434307,4
1686622814.538254,4
1686622814.642216,4
1686622814.746293,5
1686622814.850353,4
1686622814.954525,4
1686622815.058915,4
1686622815.163007,5
1686622815.267310,5
1686622815.371732,5
1686622815.475858,5
1686622815.579947,4
1686622815.684150,5
1686622815.788473,5
1686622815.893016,5
1686622815.997348,4
1686622816.101774,3
1686622816.206021,4
1686622816.310307,2
1686622816.414821,5
1686622816.519222,3
1686622816.624583,2
1686622816.729586,3
1686622816.834445,4
1686622816.939470,5
1686622817.043851,5
1686622817.147823,5
1686622817.251860,6
1686622817.355764,6
1686622817.459869,6
1686622817.563890,6
1686622817.668389,6
1686622817.773356,6
1686622817.877883,7
1686622817.981957,7
1686622818.086463,7
1686622818.191411,7
1686622818.296489,6
1686622818.400913,7
1686622818.505024,7
1686622818.608899,7
1686622818.713402,7
1686622818.818509,7
1686622818.923090,7
1686622819.027271,7
1686622819.132212,8
1686622819.236074,8
1686622819.340135,8
1686622819.444731,8
1686622819.549164,8
1686622819.653227,9
1686622819.757198,6
1686622819.861189,8
1686622819.971938,8
1686622820.076237,10
1686622820.180754,5
1686622820.285799,4
1686622820.390210,5
1686622820.494141,5
1686622820.598410,5
